ISO3,Country,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Human Development Index (2021),Life Expectancy at Birth (2021),Expected Years of Schooling (2021),Mean Years of Schooling (2021),Gross National Income Per Capita (2021),GDI Group (2021),Gender Development Index (2021),HDI female (2021),"Life Expectancy at Birth, female (2021)","Expected Years of Schooling, female (2021)","Mean Years of Schooling, female (2021)","Gross National Income Per Capita, female (2021)",HDI male (2021),"Life Expectancy at Birth, male (2021)","Expected Years of Schooling, male (2021)","Mean Years of Schooling, male (2021)","Gross National Income Per Capita, male (2021)",Inequality-adjusted Human Development Index (2021),Coefficient of human inequality (2021),Overall loss (%) (2021),Inequality in life expectancy (2021),Inequality in eduation (2021),Inequality in income (2021),GII Rank (2021),Gender Inequality Index (2021),"Maternal Mortality Ratio (deaths per 100,000 live births) (2021)","Adolescent Birth Rate (births per 1,000 women ages 15-19) (2021)","Labour force participation rate, female (% ages 15 and older) (2021)","Labour force participation rate, male (% ages 15 and older) (2021)",Difference from HDI rank (2021),Planetary pressures-adjusted Human Development Index (2021),Difference from HDI value (%) (2021),Carbon dioxide emissions per capita (production) (tonnes) (2021),Material footprint per capita (tonnes) (2021)
AFG,Afghanistan,Low,SA,180,0.478,61.9824,10.26384398,2.98506999,1824.190915,5,0.681,0.36484023,65.2791,7.736391273,2.311079979,532.9553682,0.535610873,58.9147,12.67218933,3.401309967,3089.270418,,,,26.16536713,45.36517,,167,0.678,638,82.565,14.848,66.515,5,0.474,0.836820084,0.312376488,1.38
AGO,Angola,Medium,SSA,148,0.586,61.6434,12.1721,5.417390823,5465.617791,4,0.903,0.556745058,64.3066,11.5409,4.183875561,4751.373256,0.616557703,59.0291,12.9132,6.894268513,6196.650485,0.407,30.41216757,30.54607509,28.1877327,34.17144,28.87733,136,0.537,241,138.402,73.968,79.071,10,0.577,1.535836177,0.675409733,2.18
ALB,Albania,High,ECA,67,0.796,76.4626,14.44799995,11.28645502,14131.11039,1,1.007,0.799221622,79.1726,15.31414032,11.68443326,11637.21567,0.793604613,74.0869,13.65186977,10.92069549,16629.90211,0.71,10.76768488,10.8040201,6.790634632,12.33344,13.17898,39,0.144,15,14.517,50.733,66.154,28,0.739,7.16080402,1.575753953,12.96
AND,Andorra,Very High,,40,0.858,80.3684,13.30023874,10.55511952,51166.62661,,,,84.3238,,10.48113913,,,77.1723,,10.62797735,,,,,5.297909737,10.00815435,,,,,5.887,,,,,,6.034944671,
ARE,United Arab Emirates,Very High,AS,26,0.911,78.7104,15.71769047,12.69402981,62573.59181,2,0.953,0.87713227,80.9371,16.53561974,12.52534008,28921.14482,0.920631429,77.2164,15.20983028,12.80508041,77317.68017,,,,4.524926186,12.63435527,,11,0.049,3,3.085,46.542,88.003,-105,0.518,43.13940724,15.19333592,68.95
ARG,Argentina,Very High,LAC,47,0.842,75.3899,17.8748703,11.14726927,20925.26814,1,0.997,0.833324995,78.6471,19.23380089,11.35364528,15580.71571,0.835521148,72.1818,16.55146027,10.90602315,26376.42505,0.72,13.83730084,14.48931116,7.624845505,5.78729,28.099767,69,0.287,39,39.065,50.01,71.603,26,0.759,9.857482185,3.473291552,15.81
ARM,Armenia,High,ECA,85,0.759,72.0431,13.11676025,11.33030033,13157.9939,1,1.001,0.756949514,77.35,13.81657982,11.32151985,8736.263849,0.756110563,66.5544,12.52400017,11.34119034,18557.94799,0.688,9.136398122,9.354413702,7.035874367,2.93495,17.43837,53,0.216,26,18.511,42.663,63.004,33,0.727,4.216073781,1.987788379,5.95
ATG,Antigua and Barbuda,High,LAC,71,0.788,78.4968,14.18462641,9.293740746,16792.36595,,,,80.9411,15.20951739,,,,75.7753,13.19281252,,,,,,4.746305943,,,,,42,33.11,,,,,,4.395122997,
AUS,Australia,Very High,,5,0.951,84.5265,21.05459023,12.72681999,49238.43335,2,0.968,0.93167223,85.8396,21.81757927,12.81058979,37485.5883,0.962956483,83.1718,20.30187988,12.63971043,61160.79011,0.876,7.640183183,7.886435331,2.73797965,3.056569899,17.126,19,0.073,6,8.096,61.057,70.547,-87,0.637,33.01787592,15.36837971,46.82
AUT,Austria,Very High,,25,0.916,81.5797,16.00795937,12.25669003,53618.67138,1,0.98,0.905682295,84.084,16.39508057,11.97801018,43413.88736,0.923877356,79.0433,15.64367962,12.55373955,64148.48737,0.851,6.904079795,7.096069869,3.256919384,2.52241,14.93291,12,0.053,5,5.521,55.514,66.283,9,0.766,16.37554585,6.732425105,24.62
